"user","check"
"67499.1581749459",0
"83340.1581762798",0
"85529.1581716849",0
"197806.157903449",0
"221230.15817843",0
"257780.158175526",0
"261393.147950235",0
"279482.158175576",0
"289611.153122715",0
"423881.157920787",0
"434515.1581763",0
"497439.156838803",0
"590392.158176875",0
"593908.153935035",0
"614096.158138174",0
"619276.157721088",0
"670408.158178439",0
"671707.158090423",0
"689462.158177742",0
"691807.157271805",2031
"716396.158174149",0
"759062.158178458",0
"759184.158174864",7996
"785625.158178976",0
"901810.158177167",0
"902911.158172192",0
"997365.158174869",0
"1039136.1503147",0
"1064362.15812256",0
"1066342.15817901",0
"1066468.15817605",0
"1151058.15817884",0
"1182674.15806606",0
"1217608.15817779",0
"1230833.15799331",0
"1251740.15817655",0
"1266006.15817075",0
"1268966.15817974",0
"1305301.15801534",0
"1307991.15817982",0
"1406496.15817673",0
"1420744.15815185",0
"1432158.15817705",0
"1451328.15801135",0
"1453848.15804946",0
"1483298.15813241",0
"1497782.15817512",0
"1587289.15812402",0
"1634986.1581761",0
"1653079.15817292",0
"1657531.15783405",0
"1675250.15817877",0
"1715894.15817979",0
"1764767.15817524",0
"1765498.15817823",0
"1769673.15817513",0
"1788785.15758664",0
"1797186.15817704",0
"1881369.15204319",0
"1891826.15700275",0
"1894805.15817924",0
"1928258.15767024",0
"2003602.15817932",0
"2021579.15817551",0
"2022004.15817981",0
"2038405.15817663",0
"2099348.15043519",0
"2121264.15763822",0
"2132512.15817801",0
"2259659.15816795",0
"2360487.15817871",0
"2408188.15817966",0
"2439612.15817734",0
"2446810.15785135",0
"2449428.15817457",0
"2462406.15817812",0
"2525470.15817835",0
"2527532.15817841",0
"2590100.15077381",0
"2590978.15817988",0
"2661677.15817933",0
"2746367.15817668",0
"2779069.15817737",0
"2858128.1581526",1867
"2860712.15817789",0
"2866900.1531927",0
"2895087.15801303",0
"2922862.15817143",0
"2944249.15817613",0
"2949422.1581757",0
"2954872.15817522",0
"3038182.15817724",0
"3061564.15721604",0
"3112611.15688998",0
"3165735.1581792",0
"3249045.15817827",0
"3277162.158177",0
"3295858.15817108",0
"3297276.1579536",0
"3337877.15817916",0
"3342948.15817871",0
"3381646.15817314",0
"3400844.15789374",0
"3436505.15348552",0
"3448919.15817833",0
"3472145.15817373",0
"3498412.15817913",0
"3502752.15817767",0
"3512908.15817577",0
"3517135.15809128",0
"3561619.15817767",0
"3592723.15817876",0
"3601373.15817198",0
"3601374.15817854",0
"3622618.15817957",0
"3628082.15776393",0
"3628229.15817526",0
"3664530.1581794",0
"3698064.15817176",0
"3728776.15816931",0
"3760549.15794632",0
"3774938.15789809",0
"3924321.1581751",0
"3950714.15817925",0
"3962392.15782462",0
"4050711.1581799",0
"4140646.15817188",0
"4175233.15817954",0
"4202379.15817928",0
"4236259.15817538",0
"4276385.14610804",0
"4303538.15817928",0
"4329022.15817916",0
"4357190.15817467",0
"4477310.15817807",0
"4700845.15817714",0
"4702940.15817733",0
"4768054.15817704",0
"4781353.15252076",3191
"4800011.15817967",0
"4800170.15817257",0
"4869148.15568013",10093
"4954609.15817925",0
"4957432.15817487",0
"4970874.15817856",0
"4982947.15817737",0
"4984947.15817858",0
"5086544.15817816",0
"5126785.15810574",0
"5163140.15817895",0
"5192658.15817887",0
"5249193.15804754",5005
"5269989.15817702",0
"5274469.15646345",0
"5279156.15764058",0
"5380873.15817222",0
"5425047.15757273",0
"5441984.15817778",0
"5500782.15817272",0
"5549568.1581792",0
"5670937.15817806",0
"5683097.15811124",0
"5780887.15811906",4063
"5880035.15817601",0
"5982922.15817968",0
"6121870.15817641",0
"6161924.15766948",0
"6171600.15759108",0
"6180987.15817573",0
"6232073.1581765",0
"6237214.15788318",0
"6244356.15761816",0
"6265023.15433854",0
"6339935.15797021",0
"6356271.15817535",0
"6415605.15817769",0
"6427788.1581781",0
"6436852.1581792",0
"6439805.15817737",0
"6447900.15817603",0
"6452593.15817575",0
"6464406.15817488",0
"6505019.1571328",0
"6518549.15817566",0
"6519160.15817632",0
"6545933.15817531",0
"6557789.15817703",0
"6566061.15817966",0
"6679815.15817603",0
"6687689.1581504",0
"6747426.15817845",0
"6752005.15805577",8342
"6849498.15817938",0
"6871497.13638614",7178
"6957160.15517144",7034
"6989861.15817653",0
"7022698.15805454",0
"7043247.15811893",0
"7160058.15817389",0
"7195659.15817735",0
"7197110.15800444",0
"7250551.15817721",0
"7381637.15817877",0
"7389009.1512154",0
"7452706.15817575",0
"7483594.15344416",0
"7544426.15817534",0
"7561693.15817802",0
"7614464.15795783",0
"7753869.15817679",0
"8018904.15817539",7062
"8066777.15817777",0
"8083940.15817884",0
"8093611.15817855",0
"8103854.15593947",0
"8108321.15637849",0
"8114861.15817614",0
"8133927.15817714",0
"8144524.15725416",5095
"8222229.15760591",0
"8288234.15817872",0
"8389118.15817892",0
"8415447.15817291",0
"8452487.15817582",0
"8473674.15817235",0
"8509171.15817991",0
"8515610.15817357",0
